05-09-2025 10:23:55.049 [restartedMain] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: true
05-09-2025 10:23:55.049 [restartedMain] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
05-09-2025 10:23:55.273 [restartedMain] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
05-09-2025 10:23:55.274 [restartedMain] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.initScheduledTasks - Starting heartbeat executor: renew interval is: 30
05-09-2025 10:23:55.276 [restartedMain] [-] INFO  API-GATEWAY-c.n.discovery.InstanceInfoReplicator.<init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
05-09-2025 10:23:55.278 [restartedMain] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.<init> - Discovery Client initialized at timestamp 1757048035277 with initial instances count: 0
05-09-2025 10:23:55.281 [restartedMain] [-] INFO  API-GATEWAY-o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application API-GATEWAY with eureka with status UP
05-09-2025 10:23:55.281 [restartedMain] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.notify - Saw local status change event StatusChangeEvent [timestamp=1757048035281, current=UP, previous=STARTING]
05-09-2025 10:23:55.283 [DiscoveryClient-InstanceInfoReplicator-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_API-GATEWAY/10.150.0.155:API-GATEWAY:8087: registering service...
05-09-2025 10:23:55.315 [DiscoveryClient-InstanceInfoReplicator-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_API-GATEWAY/10.150.0.155:API-GATEWAY:8087 - registration status: 204
05-09-2025 10:23:55.431 [restartedMain] [-] INFO  API-GATEWAY-o.s.b.w.e.netty.NettyWebServer.start - Netty started on port 8087 (http)
05-09-2025 10:23:55.432 [restartedMain] [-] INFO  API-GATEWAY-o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 8087
05-09-2025 10:23:55.456 [restartedMain] [-] INFO  API-GATEWAY-c.api_gateway.ApiGatewayApplication.logStarted - Started ApiGatewayApplication in 3.862 seconds (process running for 4.7)
05-09-2025 10:24:25.284 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
05-09-2025 10:24:25.285 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
05-09-2025 10:24:25.285 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
05-09-2025 10:24:25.285 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
05-09-2025 10:24:25.286 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
05-09-2025 10:24:25.286 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: false
05-09-2025 10:24:25.286 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
05-09-2025 10:24:25.309 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  API-GATEWAY-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
