05-09-2025 10:23:46.589 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
05-09-2025 10:23:46.590 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 1 ms
05-09-2025 10:23:47.550 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:23:50.070 [http-nio-8086-exec-2] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:23:53.336 [http-nio-8086-exec-4] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:23:58.448 [http-nio-8086-exec-9] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:24:00.918 [http-nio-8086-exec-6] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:24:03.849 [http-nio-8086-exec-5] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:24:06.771 [http-nio-8086-exec-7] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:24:09.428 [http-nio-8086-exec-8] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:24:12.388 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
05-09-2025 10:24:12.389 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
05-09-2025 10:24:12.390 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
05-09-2025 10:24:12.391 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
05-09-2025 10:24:12.392 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
05-09-2025 10:24:12.393 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: false
05-09-2025 10:24:12.393 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
05-09-2025 10:24:12.428 [DiscoveryClient-CacheRefreshExecutor-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
